FORMAT:           OCCAM2MTDATA_1.0
DESCRIPTION:      Sites for new project
SITES:            11
M50
M40
M30
M20
M10
C00
P10
P20
P30
P40
P50
OFFSETS (M):
-50000
-40000
-30000
-20000
-10000
0
10000
20000
30000
40000
50000
FREQUENCIES:      16
1
0.630957
0.398107
0.251189
0.158489
0.1
0.0630957
0.0398107
0.0251189
0.0158489
0.01
0.00630957
0.00398107
0.00251189
0.00158489
0.001
DATA BLOCKS:      704
SITE FREQ TYPE DATUM  ERR
  1   1   1  2.0000  0.0217
  1   1   2 45.0000  1.4500
  1   1   5  2.0000  0.0217
  1   1   6 45.0000  1.4500
  1   2   1  2.0000  0.0217
  1   2   2 45.0000  1.4500
  1   2   5  2.0000  0.0217
  1   2   6 45.0000  1.4500
  1   3   1  2.0000  0.0217
  1   3   2 45.0000  1.4500
  1   3   5  2.0000  0.0217
  1   3   6 45.0000  1.4500
  1   4   1  2.0000  0.0217
  1   4   2 45.0000  1.4500
  1   4   5  2.0000  0.0217
  1   4   6 45.0000  1.4500
  1   5   1  2.0000  0.0217
  1   5   2 45.0000  1.4500
  1   5   5  2.0000  0.0217
  1   5   6 45.0000  1.4500
  1   6   1  2.0000  0.0217
  1   6   2 45.0000  1.4500
  1   6   5  2.0000  0.0217
  1   6   6 45.0000  1.4500
  1   7   1  2.0000  0.0217
  1   7   2 45.0000  1.4500
  1   7   5  2.0000  0.0217
  1   7   6 45.0000  1.4500
  1   8   1  2.0000  0.0217
  1   8   2 45.0000  1.4500
  1   8   5  2.0000  0.0217
  1   8   6 45.0000  1.4500
  1   9   1  2.0000  0.0217
  1   9   2 45.0000  1.4500
  1   9   5  2.0000  0.0217
  1   9   6 45.0000  1.4500
  1  10   1  2.0000  0.0217
  1  10   2 45.0000  1.4500
  1  10   5  2.0000  0.0217
  1  10   6 45.0000  1.4500
  1  11   1  2.0000  0.0217
  1  11   2 45.0000  1.4500
  1  11   5  2.0000  0.0217
  1  11   6 45.0000  1.4500
  1  12   1  2.0000  0.0217
  1  12   2 45.0000  1.4500
  1  12   5  2.0000  0.0217
  1  12   6 45.0000  1.4500
  1  13   1  2.0000  0.0217
  1  13   2 45.0000  1.4500
  1  13   5  2.0000  0.0217
  1  13   6 45.0000  1.4500
  1  14   1  2.0000  0.0217
  1  14   2 45.0000  1.4500
